Place|Address|Phone Number|Website|Actual Place Name|Latitude|Longitude|Place Type|Latest Review|Review Date
Gereja Katolik Aek Nauli SALAON TONGA TONGA ,kecamatan RONGGUR NIHUTA, SAMOSIR |JPHV+WHC, Unnamed Road, Salaon Tonga Tonga, Kec. Ronggur Nihuta, Kabupaten Samosir, Sumatera Utara 22392|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Gereja Katolik Aek Nauli|2.6298176|98.7439005|Gereja Katolik|Tidak ada review|Tidak ada review
Simpang Gorat SALAON TONGA TONGA ,kecamatan RONGGUR NIHUTA, SAMOSIR |JQP6+VVG, Salaon Tonga Tonga, Kec. Ronggur Nihuta, Kabupaten Samosir, Sumatera Utara 22392|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Simpang Gorat|2.6371762|98.7622069|Taman|Tidak ada review|Tidak ada review
HUTA GINJANH SALAON TONGA TONGA ,kecamatan RONGGUR NIHUTA, SAMOSIR |HPGP+F86, desa, Hutaginjang, Kec. Ronggur Nihuta, Kabupaten Samosir, Sumatera Utara 22392|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Huta Ginjang|2.5759082|98.7358093|Tujuan Wisata|Tidak ada review|Tidak ada review
POSBA HUKUM Desa S SALAON TONGA TONGA ,kecamatan RONGGUR NIHUTA, SAMOSIR |JPGP+GXG, Huta Tinggi, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|POS BANTUAN HUKUM Desa Salaon Tonga-tonga|2.6263702|98.7375336|Balai masyarakat|Tidak ada review|Tidak ada review
 Kuburan Tulang SALAON TONGA TONGA ,kecamatan RONGGUR NIHUTA, SAMOSIR |JQR3+57, Salaon Tonga Tonga, Kec. Ronggur Nihuta, Kabupaten Samosir, Sumatera Utara|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Kuburan Tulang|2.6404403|98.7531393|Bangunan Bersejarah|Tidak ada review|Tidak ada review
Kembar Kopi Salaon Tonga SALAON TONGA TONGA ,kecamatan RONGGUR NIHUTA, SAMOSIR |JPHV+J2H, Salaon Tonga Tonga, Kec. Ronggur Nihuta, Kabupaten Samosir, Sumatera Utara|0822-2292-86351|Alamat web tidak ditemukan|Kembar Kopi Salaon Tonga|2.6290613|98.7425989|Kedai Kopi|Tidak ada review|Tidak ada review
Lumban Sona SALAON TONGA TONGA ,kecamatan RONGGUR NIHUTA, SAMOSIR |JPCQ+2HF, Salaon Tonga Tonga, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Lumban Sona|2.6200614|98.7389332|Komplek perumahan|Tidak ada review|Tidak ada review
Plato coffee shop SALAON TONGA TONGA ,kecamatan RONGGUR NIHUTA, SAMOSIR |JPMW+49, Salaon Tonga Tonga, Kec. Ronggur Nihuta, Kabupaten Samosir, Sumatera Utara|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Plato coffee shop|2.6327582|98.7459037|Kedai Kopi|Tidak ada review|Tidak ada review
Warung Malumjaya SALAON TONGA TONGA ,kecamatan RONGGUR NIHUTA, SAMOSIR |JPHV+J2H, Salaon Tonga Tonga, Kec. Ronggur Nihuta, Kabupaten Samosir, Sumatera Utara|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Warung Malumjaya|2.6287707|98.7419597|Toko Fotokopi|Tidak ada review|Tidak ada review
Salaon Tonga Tonga SALAON TONGA TONGA ,kecamatan RONGGUR NIHUTA, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
