Place|Address|Phone Number|Website|Actual Place Name|Latitude|Longitude|Place Type|Latest Review|Review Date
IFGF SAMOSIR PARSAORAN ,kecamatan SITIOTIO, SAMOSIR |Cinta Maju, Kec. Sitio-Tio, Kabupaten Samosir, Sumatera Utara|0822-7674-8648|Alamat web tidak ditemukan|IFGF SAMOSIR|2.4941344|98.7490419|Gereja Injil Sepenuh|Tidak ada review|Tidak ada review
Huta Parrauan PARSAORAN ,kecamatan SITIOTIO, SAMOSIR |FPRV+X33, PARRAUAN,DESA PARSAORAN, Cinta Maju, Kec. Sitio-Tio, Kabupaten Samosir, Sumatera Utara|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|PARRAUAN|2.4923999|98.7426643|Komplek perumahan|Tidak ada review|Tidak ada review
Kantor Kepala Desa Parsaoran PARSAORAN ,kecamatan SITIOTIO, SAMOSIR |FPRR+RVC, Cinta Maju, Kec. Sitio-Tio, Kabupaten Samosir, Sumatera Utara 22391|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Kantor Kepala Desa Parsaoran Kecamatan Sitiotio|2.4920676|98.7421309|Kantor Pemerintah|Tidak ada review|Tidak ada review
Aserta shoting gultom PARSAORAN ,kecamatan SITIOTIO, SAMOSIR |FQQ2+7WQ, Cinta Maju, Kec. Sitio-Tio, Kabupaten Samosir, Sumatera Utara|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Aserta shoting gultom|2.4882176|98.7523541|Studio Fotografi|Tidak ada review|Tidak ada review
ya Tamba PARSAORAN ,kecamatan SITIOTIO, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
10m l PARSAORAN ,kecamatan SITIOTIO, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
YR Farm PARSAORAN ,kecamatan SITIOTIO, SAMOSIR |Cinta Maju, Kec. Sitio-Tio, Kabupaten Samosir, Sumatera Utara 22393|0822-7674-8648|Alamat web tidak ditemukan|YR Farm|2.4958165|98.7473035|Pertanian|Tidak ada review|Tidak ada review
 Rekomendasi akti PARSAORAN ,kecamatan SITIOTIO, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
Taman KanakKanak Cahaya Kemuliaan PARSAORAN ,kecamatan SITIOTIO, SAMOSIR |Cinta Maju, Kec. Sitio-Tio, Kabupaten Samosir, Sumatera Utara|0822-7674-8648|Alamat web tidak ditemukan|Taman Kanak-Kanak Cahaya Kemuliaan Samosir|2.4942819|98.7487672|Taman Kanak-kanak|Tidak ada review|Tidak ada review
Sait Nihuta Tamba PARSAORAN ,kecamatan SITIOTIO, SAMOSIR |Saitnihuta Desa Parsaoran, Cinta Maju, Kec. Sitio-Tio, Kabupaten Samosir, Sumatera Utara 22397|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Sait Nihuta Tamba|2.493978|98.7489527|Pasar Petani|Tidak ada review|Tidak ada review
Tambanana PARSAORAN ,kecamatan SITIOTIO, SAMOSIR |Saitnihuta Desa Parsaoran, Cinta Maju, Kec. Sitio-Tio, Kabupaten Samosir, Sumatera Utara 22397|0822-7674-8648|Alamat web tidak ditemukan|Tambanana|2.4940223|98.7490113|Toko Makanan|Tidak ada review|Tidak ada review
Pantai Saitni PARSAORAN ,kecamatan SITIOTIO, SAMOSIR |Saitnihuta Desa Parsaoran, Cinta Maju, Kec. Sitio-Tio, Kabupaten Samosir, Sumatera Utara 22395|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Pantai Sait ni Hoeta|2.4937702|98.7492812|Danau untuk Berenang|Tidak ada review|Tidak ada review
