Place|Address|Phone Number|Website|Actual Place Name|Latitude|Longitude|Place Type|Latest Review|Review Date
Sd N11 sitiotio TAMBA DOLOK ,kecamatan SITIOTIO, SAMOSIR |FPVF+5X, Tamba Dolok, Kec. Sitio-Tio, Kabupaten Samosir, Sumatera Utara|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Sd N 11 sitiotio|2.4929731|98.7248997|Sekolah Dasar|Tidak ada review|Tidak ada review
Batu Maroppa TAMBA DOLOK ,kecamatan SITIOTIO, SAMOSIR |FPJ8+C6P, Tamba Dolok, Kec. Sitio-Tio, Kabupaten Samosir, Sumatera Utara 22391|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Batu Maroppa|2.4810926|98.7155708|Tujuan Wisata|Tidak ada review|Tidak ada review
Parandean TAMBA DOLOK ,kecamatan SITIOTIO, SAMOSIR |FPW9+4PJ, Tamba Dolok, Kec. Sitio-Tio, Kabupaten Samosir, Sumatera Utara 22391|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Parandean|2.4950352|98.7197165|Komplek perumahan|Tidak ada review|Tidak ada review
Sosorgalung TAMBA DOLOK ,kecamatan SITIOTIO, SAMOSIR |FPVC+9X, Tamba Dolok, Kec. Sitio-Tio, Kabupaten Samosir, Sumatera Utara|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Sosorgalung|2.4941558|98.722769|Komplek perumahan|Tidak ada review|Tidak ada review
Panambunan TAMBA DOLOK ,kecamatan SITIOTIO, SAMOSIR |FPRG+RH, Tamba Dolok, Kec. Sitio-Tio, Kabupaten Samosir, Sumatera Utara|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Panambunan|2.4921132|98.7264678|Komplek perumahan|Tidak ada review|Tidak ada review
adry sinaga TAMBA DOLOK ,kecamatan SITIOTIO, SAMOSIR |FPPG+QHG, Tamba Dolok, Kec. Sitio-Tio, Kabupaten Samosir, Sumatera Utara 22391|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|adry sinaga|2.4869478|98.7264433|Salon Kecantikan|Tidak ada review|Tidak ada review
Tempat Parkir Batu Maroppa TAMBA DOLOK ,kecamatan SITIOTIO, SAMOSIR |FPJ9+RW6, Tamba Dolok, Kec. Sitio-Tio, Kabupaten Samosir, Sumatera Utara 22391|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Tempat Parkir Kendaraan Batu Maroppa|2.4820495|98.7197643|Tempat Parkir|Tidak ada review|Tidak ada review
esa olok TAMBA DOLOK ,kecamatan SITIOTIO, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
Area ini TAMBA DOLOK ,kecamatan SITIOTIO, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
Privasi  Kirim Masukan Produk TAMBA DOLOK ,kecamatan SITIOTIO, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
