Place|Address|Phone Number|Website|Actual Place Name|Latitude|Longitude|Place Type|Latest Review|Review Date
praktek SIMBOLON PURBA ,kecamatan PALIPI, SAMOSIR |Jl. Simbolon Purba, Simbolon Purba, Kec. Palipi, Kabupaten Samosir, Sumatera Utara 22393|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|praktek|2.5173354|98.7621904|Dokter|Tidak ada review|Tidak ada review
Bells Toko Kosmetik SIMBOLON PURBA ,kecamatan PALIPI, SAMOSIR |Jl. Simbolon Purba, Simbolon Purba, Kec. Palipi, Kabupaten Samosir, Sumatera Utara 22393|0821-6464-8403|https://bells-store.business.com/|Bell's|2.5157511|98.7636136|Toko Kosmetik|Tidak ada review|Tidak ada review
Gereja Katolik Stasi Lumban Malau SIMBOLON PURBA ,kecamatan PALIPI, SAMOSIR |HRH5+GG3, Simbolon Purba, Kec. Palipi, Kabupaten Samosir, Sumatera Utara 22395|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Gereja Katolik Stasi Lumban Malau|2.5787739|98.8087869|Gereja Katolik|Tidak ada review|Tidak ada review
KEDAINIKSON SIMBOLON SIMBOLON PURBA ,kecamatan PALIPI, SAMOSIR |HRH5+GMF, Simbolon Purba, Kec. Palipi, Kabupaten Samosir, Sumatera Utara 22395|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|KEDAI NIKSON SIMBOLON|2.578812|98.8091622|Kedai Kopi|Tidak ada review|Tidak ada review
Privasi  Kirim Masukan Produk SIMBOLON PURBA ,kecamatan PALIPI, SAMOSIR |Simbolon Purba, Kec. Palipi, Kabupaten Samosir, Sumatera Utara 22393|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Toko Dimpos|2.515866|98.763672|Pusat Perbelanjaan|Tidak ada review|Tidak ada review
Toko Dimpos Pusat Perbelanjaan SIMBOLON PURBA ,kecamatan PALIPI, SAMOSIR |Simbolon Purba, Kec. Palipi, Kabupaten Samosir, Sumatera Utara 22393|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Toko Dimpos|2.515866|98.763672|Pusat Perbelanjaan|Tidak ada review|Tidak ada review
Lapo tuak takkasan sippang tamba aek hela SIMBOLON PURBA ,kecamatan PALIPI, SAMOSIR |GQ87+8JF, Jalan, Simbolon Purba, Rianiate, Samosir Regency, North Sumatra|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Lapo tuak takkasan sippang tamba aek hela|2.5158241|98.7640492|Kedai Kopi|Tidak ada review|Tidak ada review
Asrama Mawar Kasih SMAK SIMBOLON PURBA ,kecamatan PALIPI, SAMOSIR |GQ34+7VR, Simbolon Purba, Kec. Palipi, Kabupaten Samosir, Sumatera Utara 22393|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Asrama Mawar Kasih SMAK|2.5032365|98.7571546|Asrama Pelajar|Tidak ada review|Tidak ada review
Raja naubanon SIMBOLON PURBA ,kecamatan PALIPI, SAMOSIR |Jl. Raya Tarabunga, Simbolon Purba, Kec. Palipi, Kabupaten Samosir, Sumatera Utara 22393|0853-7382-0706|Alamat web tidak ditemukan|Raja naubanon|2.5050814|98.7549792|Agen Kapal Pesiar|Tidak ada review|Tidak ada review
Tarabunga SIMBOLON PURBA ,kecamatan PALIPI, SAMOSIR |GQ43+XH6, Simbolon Purba, Kec. Palipi, Kabupaten Samosir, Sumatera Utara 22393|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Simbolon tarabunga|2.507409|98.753892|Gedung Apartemen|Tidak ada review|Tidak ada review
