Place|Address|Phone Number|Website|Actual Place Name|Latitude|Longitude|Place Type|Latest Review|Review Date
Soean Bony Coffee Refreshing URAT TIMUR ,kecamatan PALIPI, SAMOSIR |FR3W+R8V, Jl. Pulau Samosir, Urat Tim., Kecamatan Nainggolan, Kabupaten Samosir, Sumatera Utara 22393|0813-7001-3335|Alamat web tidak ditemukan|Soean Bony Coffee Refreshing|2.4546236|98.8458073|Kedai Kopi|Tidak ada review|Tidak ada review
Ruma Parsantian Situmorang Pande URAT TIMUR ,kecamatan PALIPI, SAMOSIR |FR5R+MQP, Urat Tim., Kec. Palipi, Kabupaten Samosir, Sumatera Utara 22393|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Ruma Parsantian Situmorang Pande|2.4604749|98.842351|Bangunan Bersejarah|Tidak ada review|Tidak ada review
Hotel Alani Hol URAT TIMUR ,kecamatan PALIPI, SAMOSIR |FR5V+W45, Urat Tim., Kecamatan Nainggolan, Kabupaten Samosir, Sumatera Utara 22393|(0765) 440222|https://www.alaniholong.com/|Hotel Alani Holong|2.4597541|98.8428462|Hotel|Tidak ada review|Tidak ada review
Pertamini Bensin Solar URAT TIMUR ,kecamatan PALIPI, SAMOSIR |FR6R+44R, Jl. Pulau Samosir, Urat Tim., Kec. Palipi, Kabupaten Samosir, Sumatera Utara 22393|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Pertamini Bensin Solar|2.4603668|98.8402505|Pom bensin/SPBU|Tidak ada review|Tidak ada review
GKPI Urat Timur URAT TIMUR ,kecamatan PALIPI, SAMOSIR |FR6R+62X, Urat Tim., Kec. Palipi, Kabupaten Samosir, Sumatera Utara 22393|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|GKPI Urat Timur|2.4606059|98.8401173|Gereja|Tidak ada review|Tidak ada review
Gereja KatolikSt YohannesPembabtis URAT TIMUR ,kecamatan PALIPI, SAMOSIR |FR5R+MQP, Urat Tim., Kec. Palipi, Kabupaten Samosir, Sumatera Utara 22393|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Gereja Katolik St Yohannes Pembabtis Sibatuara Urat|2.459205|98.84196|Gereja Katolik|Tidak ada review|Tidak ada review
Datapeta2025 URAT TIMUR ,kecamatan PALIPI, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
Indoneaia URAT TIMUR ,kecamatan PALIPI, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
o Rekomendasi aktivitas URAT TIMUR ,kecamatan PALIPI, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
Yudi Bengkel URAT TIMUR ,kecamatan PALIPI, SAMOSIR |FR5R+8QJ, Jl. Pulau Samosir, Urat Tim., Kec. Palipi, Kabupaten Samosir, Sumatera Utara 22393|0812-6045-6923|Alamat web tidak ditemukan|Yudi Bengkel|2.4583417|98.8418819|Bengkel Mobil|Tidak ada review|Tidak ada review
Jeger Cafe n Sport Club URAT TIMUR ,kecamatan PALIPI, SAMOSIR |FR5R+6QX, Jl. Pulau Samosir, Urat Tim., Kec. Palipi, Kabupaten Samosir, Sumatera Utara 22393|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Jeger Cafe n Sport Club|2.457136|98.8423627|Klub Olahraga|Tidak ada review|Tidak ada review
Persvaratan Privasi URAT TIMUR ,kecamatan PALIPI, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
Privasi Kirim Masukan Produk URAT TIMUR ,kecamatan PALIPI, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
Data peta2025 URAT TIMUR ,kecamatan PALIPI, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
ngururan URAT TIMUR ,kecamatan PALIPI, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
Privaai Kirim Masukan Produk URAT TIMUR ,kecamatan PALIPI, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
