Place|Address|Phone Number|Website|Actual Place Name|Latitude|Longitude|Place Type|Latest Review|Review Date
KANTORDESA PANGALOAN PANGALOAN ,kecamatan NAINGGOLAN, SAMOSIR |CWP4+R2P, Sipinggan Lumban Siantar, Kecamatan Nainggolan, Kabupaten Samosir, Sumatera Utara 22394|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|KANTOR DESA PANGALOAN|2.4370886|98.905078|Kantor Pemerintah Distrik|Tidak ada review|Tidak ada review
Kedai Tuak Si Boto Da PANGALOAN ,kecamatan NAINGGOLAN, SAMOSIR |CWP6+XR2, Pangaloan, Kecamatan Nainggolan, Kabupaten Samosir, Sumatera Utara|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Kedai Tuak Si Boto Dai|2.4373841|98.9120072|Kedai Kopi|Tidak ada review|Tidak ada review
Kedai Sitantas Namnur PANGALOAN ,kecamatan NAINGGOLAN, SAMOSIR |CWQ7+292, Sipinggan Lumban Siantar, Kecamatan Nainggolan, Kabupaten Samosir, Sumatera Utara 22394|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Kedai Sitantas Namnur|2.4375015|98.9133817|Kedai Kopi|Tidak ada review|Tidak ada review
Monumen Toga  Nainggolan PANGALOAN ,kecamatan NAINGGOLAN, SAMOSIR |CWP8+WFM, Sipinggan Lumban Siantar, Kecamatan Nainggolan, Kabupaten Samosir, Sumatera Utara 22394|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Monumen Toga Nainggolan|2.4375278|98.915351|Tempat Religius|Tidak ada review|Tidak ada review
TUGU RAJA TALUTUK LUMBANRAJA PANGALOAN ,kecamatan NAINGGOLAN, SAMOSIR |Jl. Pulau Samosir.112, SDusun Lumban Baragas, Pangaloan, Kecamatan Nainggolan, Kabupaten Samosir, Sumatera Utara|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|TUGU RAJA TALUTUK LUMBAN RAJA|2.4388219|98.913184|Bangunan Bersejarah|Tidak ada review|Tidak ada review
Pondok Mail Sinaga PANGALOAN ,kecamatan NAINGGOLAN, SAMOSIR |CWP7+VHX Lumban baragas, Pangaloan, Kecamatan Nainggolan, Kabupaten Samosir, Sumatera Utara 22394|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Pondok Mail Sinaga|2.4372371|98.913983|Rumah Pondokan|Tidak ada review|Tidak ada review
Batu Guru Beach PANGALOAN ,kecamatan NAINGGOLAN, SAMOSIR |CWP8+R9H, Sipinggan Lumban Siantar, Kecamatan Nainggolan, Kabupaten Samosir, Sumatera Utara|0813-1440-5888|Alamat web tidak ditemukan|Batu Guru Beach|2.4370687|98.9159688|Tujuan Wisata|Tidak ada review|Tidak ada review
PANGKAS CR7 PANGALOAN ,kecamatan NAINGGOLAN, SAMOSIR |CWP5+M7P, Jl. Pulau Samosir, Sipinggan Lumban Siantar, Kecamatan Nainggolan, Kabupaten Samosir, Sumatera Utara 22394|0853-6099-6838|Alamat web tidak ditemukan|PANGKAS CR7|2.4367119|98.9081896|Tempat Cukur Rambut|Tidak ada review|Tidak ada review
GBIS Pangaloant PANGALOAN ,kecamatan NAINGGOLAN, SAMOSIR |CWQ4+4MG, Sipinggan Lumban Siantar, Kecamatan Nainggolan, Kabupaten Samosir, Sumatera Utara 22394|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|GBIS Pangaloan|2.4378182|98.9067013|Gereja|Tidak ada review|Tidak ada review
GPDI PANGALOAN PANGALOAN ,kecamatan NAINGGOLAN, SAMOSIR |CWP4+PMX, Sipinggan Lumban Siantar, Kecamatan Nainggolan, Kabupaten Samosir, Sumatera Utara 22394|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|GPDI PANGALOAN|2.4368711|98.9067419|Gereja Kristen|Tidak ada review|Tidak ada review
Naingg PANGALOAN ,kecamatan NAINGGOLAN, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
samosir PANGALOAN ,kecamatan NAINGGOLAN, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
PANGALOAN PANGALOAN ,kecamatan NAINGGOLAN, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
llPulau Samosir PANGALOAN ,kecamatan NAINGGOLAN, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
