Place|Address|Phone Number|Website|Actual Place Name|Latitude|Longitude|Place Type|Latest Review|Review Date
RS HKBP SIRUMA HOMBAR ,kecamatan NAINGGOLAN, SAMOSIR |CVPP+HRR, Sibonor Ompu Ratus, Kecamatan Nainggolan, Kabupaten Samosir, Sumatera Utara 22394|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|RS HKBP NAINGGOLAN|2.4364964|98.8870005|Rumah Sakit Umum|Tidak ada review|Tidak ada review
GPDI IMMANUEL SIRUMA HOMBAR ,kecamatan NAINGGOLAN, SAMOSIR |CVQP+3VC, Sibonor Ompu Ratus, Kecamatan Nainggolan, Kabupaten Samosir, Sumatera Utara 22394|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|GPDI IMMANUEL|2.4376939|98.8871338|Gereja|Tidak ada review|Tidak ada review
LSM PAKARDPC SAMOSIR SUMUT SIRUMA HOMBAR ,kecamatan NAINGGOLAN, SAMOSIR |Jl. Merdeka No.4, Nainggolan, Kecamatan Nainggolan, Kabupaten Samosir, Sumatera Utara 22394|0812-6596-9330|Alamat web tidak ditemukan|LSM PAKAR DPC SAMOSIR SUMUT|2.4367711|98.8870379|Asosiasi/organisasi|Tidak ada review|Tidak ada review
Kantorpos Nainggolan  SIRUMA HOMBAR ,kecamatan NAINGGOLAN, SAMOSIR |Jl. Merdeka No.4, Sibonor Ompu Ratus, Kecamatan Nainggolan, Kabupaten Samosir, Sumatera Utara 22394|0813-8034-6369|Alamat web tidak ditemukan|Kantorpos Nainggolan|2.436754|98.887291|Kantor Pos|Tidak ada review|Tidak ada review
Rumah op Andika jual Pisang SIRUMA HOMBAR ,kecamatan NAINGGOLAN, SAMOSIR |CVVQ+6GF, Unnamed Road, Sibonor Ompu Ratus, Kecamatan Nainggolan, Kabupaten Samosir, Sumatera Utara 22394|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Rumah op Andika,jual Pisang|2.4431015|98.8888294|Toko bahan makanan|Tidak ada review|Tidak ada review
CVHubols Toko Bahan Bangunan SIRUMA HOMBAR ,kecamatan NAINGGOLAN, SAMOSIR |CVPP+RP7, Jl. Pulau Samosir, Siruma Hombar, Kecamatan Nainggolan, Kabupaten Samosir, Sumatera Utara 22394|0823-6059-2212|Alamat web tidak ditemukan|CV. Hubol's|2.4370454|98.886812|Toko Bahan Bangunan|Tidak ada review|Tidak ada review
Warung Tuak Pak Elshadeylbntungkup SIRUMA HOMBAR ,kecamatan NAINGGOLAN, SAMOSIR |CVRQ+P77, Sibonor Ompu Ratus, Kecamatan Nainggolan, Kabupaten Samosir, Sumatera Utara 22394|0823-6773-7768|Alamat web tidak ditemukan|Warung Tuak Pak Elshadeylbntungkup|2.4417987|98.8881621|Kedai Kopi|Tidak ada review|Tidak ada review
Gkpi Nainggolan SIRUMA HOMBAR ,kecamatan NAINGGOLAN, SAMOSIR |CVPP+PJX, Sibonor Ompu Ratus, Kecamatan Nainggolan, Kabupaten Samosir, Sumatera Utara 22394|0852-7780-8582|Alamat web tidak ditemukan|Gkpi Nainggolan|2.4368716|98.886594|Gereja|Tidak ada review|Tidak ada review
STRONG Gym SIRUMA HOMBAR ,kecamatan NAINGGOLAN, SAMOSIR |Jl. Pelajar, Tanah lapang, Kecamatan Nainggolan, Kabupaten Samosir, Sumatera Utara 22394|0822-4678-4199|Alamat web tidak ditemukan|STRONG Gym|2.4346262|98.8849974|Tempat Fitness|Tidak ada review|Tidak ada review
Rumah Makan BPK OLAKISAT Batak SIRUMA HOMBAR ,kecamatan NAINGGOLAN, SAMOSIR |CVPP+QQ8, Jl. Pulau Samosir, Siruma Hombar, Kecamatan Nainggolan, Kabupaten Samosir, Sumatera Utara 22394|0822-6796-4404|Alamat web tidak ditemukan|Rumah Makan BPK OLAKISAT|2.436917|98.8869442|Restoran Batak|Tidak ada review|Tidak ada review
