
Datapeta2025 ONAN RUNGGU ,kecamatan ONAN RUNGGU, SAMOSIR |FX3H+FC8, Pelabuhan, Kec. Onan Runggu, Kabupaten Samosir, Sumatera Utara 22394|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Pelabuhan Onan Runggu|2.4536662|98.9785759|Klub Kapal|Tidak ada review|Tidak ada review
Moms aby Spa ONAN RUNGGU ,kecamatan ONAN RUNGGU, SAMOSIR |Jl, Onan Runggu, Kec. Onan Runggu, Kabupaten Samosir, Sumatera Utara 12345|0823-7093-8737|Alamat web tidak ditemukan|Bunda Moms and Baby Spa|2.4607846|98.9825813|Spa Kesehatan|Tidak ada review|Tidak ada review
OpPatota Harianja ONAN RUNGGU ,kecamatan ONAN RUNGGU, SAMOSIR |FX7M+56, Onan Runggu, Kec. Onan Runggu, Kabupaten Samosir, Sumatera Utara|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Op. Patota Harianja|2.4629978|98.9831374|Rumah Kayu|Tidak ada review|Tidak ada review
KB VIA SOFIA ONAN RUNGGU ,kecamatan ONAN RUNGGU, SAMOSIR |FX6J+6HW, Onan Runggu, Kec. Onan Runggu, Kabupaten Samosir, Sumatera Utara|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|KB VIA SOFIA|2.4606006|98.981459|Taman Kanak-kanak|Tidak ada review|Tidak ada review
GKPI CG88gleMaps ONAN RUNGGU ,kecamatan ONAN RUNGGU, SAMOSIR |FX6J+6H3, Unnamed Road, Onan Runggu, Kec. Onan Runggu, Kabupaten Samosir, Sumatera Utara 22394|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|GKPI Onanrunggu|2.4605161|98.9814148|Gereja Anglikan|Tidak ada review|Tidak ada review
Batulamaki ONAN RUNGGU ,kecamatan ONAN RUNGGU, SAMOSIR |FX8C+2R4, Onan Runggu, Kec. Onan Runggu, Kabupaten Samosir, Sumatera Utara 22394|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Batulamak|2.465001|98.97207|Perusahaan Daerah Air Minum (PDAM)|Tidak ada review|Tidak ada review
MANURUNGSERVICE ONAN RUNGGU ,kecamatan ONAN RUNGGU, SAMOSIR |FX7H+H4M, Onan Runggu, Kec. Onan Runggu, Kabupaten Samosir, Sumatera Utara|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|MANURUNG SERVICE|2.4639502|98.9777878|Bengkel Sepeda Motor|Tidak ada review|Tidak ada review
Bakmi Tambok Onanrunggu ONAN RUNGGU ,kecamatan ONAN RUNGGU, SAMOSIR |Onan Runggu, Kec. Onan Runggu, Kabupaten Samosir, Sumatera Utara 22394|0821-2495-4924|Alamat web tidak ditemukan|Bakmi Tambok Onanrunggu|2.4585047|98.9775504|Restoran|Tidak ada review|Tidak ada review
Kantor PLN Onan Runggu ONAN RUNGGU ,kecamatan ONAN RUNGGU, SAMOSIR |FX5G+Q6G, Onan Runggu, Kec. Onan Runggu, Kabupaten Samosir, Sumatera Utara 22394|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Kantor PLN Onan Runggu|2.4594462|98.9755923|Kantor Pemerintah|Tidak ada review|Tidak ada review
Opung Putri Samosir ONAN RUNGGU ,kecamatan ONAN RUNGGU, SAMOSIR |FX5G+FX9, Onan Runggu, Kec. Onan Runggu, Kabupaten Samosir, Sumatera Utara 22394|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Opung Putri Samosir|2.4586648|98.9774766|Pemakaman|Tidak ada review|Tidak ada review
Samosir ONAN RUNGGU ,kecamatan ONAN RUNGGU, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
