Place|Address|Phone Number|Website|Actual Place Name|Latitude|Longitude|Place Type|Latest Review|Review Date
KEPALA NJUNGAN TANJUNGAN ,kecamatan SIMANINDO, SAMOSIR |HVFP+C77, Jl. Pulau Samosir, Pardomuan, Simanindo, Kabupaten Samosir, Sumatera Utara 22395|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|KANTOR KEPALA DESA TANJUNGAN|2.5735296|98.8856714|Kantor Pemerintah Kota|Tidak ada review|Tidak ada review
Tomok  Onan Runggu TANJUNGAN ,kecamatan SIMANINDO, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
 Rekomendasi akti TANJUNGAN ,kecamatan SIMANINDO, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
 Rekomendasi aktivitas TANJUNGAN ,kecamatan SIMANINDO, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
Samosir TANJUNGAN ,kecamatan SIMANINDO, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
Tanjunigany TANJUNGAN ,kecamatan SIMANINDO, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
ebun Raya Samosir TANJUNGAN ,kecamatan SIMANINDO, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
SAMOSIR VIEW TANJUNGAN ,kecamatan SIMANINDO, SAMOSIR |HV6W+8M2, Jl. Pulau Samosir, Parbalohan, Simanindo, Kabupaten Samosir, Sumatera Utara 22395|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|SAMOSIR VIEW|2.5607547|98.8966388|Tujuan Wisata|Tidak ada review|Tidak ada review
Anara Villa Samosi TANJUNGAN ,kecamatan SIMANINDO, SAMOSIR |HV5X+G3, Parbalohan, Simanindo, Kabupaten Samosir, Sumatera Utara|0853-7088-8827|Alamat web tidak ditemukan|Anara Villa Samosir|2.5588322|98.8976502|Vila|Tidak ada review|Tidak ada review
PT MADUMA SURYA PERDANA Toko Bahan Bangunan TANJUNGAN ,kecamatan SIMANINDO, SAMOSIR |HV4X+XM2 perbatasan sipira, Tanjungan, Kec. Onan Runggu, Kabupaten Samosir, Sumatera Utara 22395|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|PT MADUMA SURYA PERDANA|2.5573969|98.8991316|Toko Bahan Bangunan|Tidak ada review|Tidak ada review
Onan TANJUNGAN ,kecamatan SIMANINDO, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
Kondisi normal TANJUNGAN ,kecamatan SIMANINDO, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
OPMO SITUMC TANJUNGAN ,kecamatan SIMANINDO, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
TomokOnan Run TANJUNGAN ,kecamatan SIMANINDO, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
Pulau Samosir TANJUNGAN ,kecamatan SIMANINDO, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
PUSKESMAS TANJUNGAN TANJUNGAN ,kecamatan SIMANINDO, SAMOSIR |HV9Q+F69, Pardomuan, Simanindo, Kabupaten Samosir, Sumatera Utara 22395|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|PUSKESMAS TANJUNGAN|2.568651|98.8881201|Pusat Kesehatan Masyarakat|Tidak ada review|Tidak ada review
Mebel pakroni Sitohang TANJUNGAN ,kecamatan SIMANINDO, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
 JI Pulau Samosir TANJUNGAN ,kecamatan SIMANINDO, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
Lalin lengang di area ini TANJUNGAN ,kecamatan SIMANINDO, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
KEPALA NJUNGAN TANJUNGAN ,kecamatan SIMANINDO, SAMOSIR |HVFP+C77, Jl. Pulau Samosir, Pardomuan, Simanindo, Kabupaten Samosir, Sumatera Utara 22395|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|KANTOR KEPALA DESA TANJUNGAN|2.5735296|98.8856714|Kantor Pemerintah Kota|Tidak ada review|Tidak ada review
PUSKESMAS TANJUNGAN TANJUNGAN ,kecamatan SIMANINDO, SAMOSIR |HV9Q+F69, Pardomuan, Simanindo, Kabupaten Samosir, Sumatera Utara 22395|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|PUSKESMAS TANJUNGAN|2.568651|98.8881201|Pusat Kesehatan Masyarakat|Tidak ada review|Tidak ada review
SD TANJUNGAN TANJUNGAN ,kecamatan SIMANINDO, SAMOSIR |HV8Q+576, Parbalohan, Simanindo, Kabupaten Samosir, Sumatera Utara 22395|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|SD TANJUNGAN|2.5654212|98.888149|Sekolah menengah|Tidak ada review|Tidak ada review
Mebel pakroni Sitohang TANJUNGAN ,kecamatan SIMANINDO, SAMOSIR |Tanjungan, Simanindo, Kabupaten Samosir, Sumatera Utara 22395|0813-7051-1351|Alamat web tidak ditemukan|Mebel pak.roni Sitohang|2.5642718|98.8896109|Industri Kremasi|Tidak ada review|Tidak ada review
OPMO SITUMC TANJUNGAN ,kecamatan SIMANINDO, SAMOSIR |PR64+W96, Martoba, Simanindo, Kabupaten Samosir, Sumatera Utara|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|GMI Sion, Tolping, Samosir|2.7122772|98.8058843|Gereja|Tidak ada review|Tidak ada review
SAMOSIR VIEW TANJUNGAN ,kecamatan SIMANINDO, SAMOSIR |HV6W+8M2, Jl. Pulau Samosir, Parbalohan, Simanindo, Kabupaten Samosir, Sumatera Utara 22395|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|SAMOSIR VIEW|2.5607547|98.8966388|Tujuan Wisata|Tidak ada review|Tidak ada review
Tomok  Onan Runggu TANJUNGAN ,kecamatan SIMANINDO, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
 Rekomendasi akti TANJUNGAN ,kecamatan SIMANINDO, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
Anara Villa Samosi TANJUNGAN ,kecamatan SIMANINDO, SAMOSIR |HV5X+G3, Parbalohan, Simanindo, Kabupaten Samosir, Sumatera Utara|0853-7088-8827|Alamat web tidak ditemukan|Anara Villa Samosir|2.5588322|98.8976502|Vila|Tidak ada review|Tidak ada review
Pulau Samosir TANJUNGAN ,kecamatan SIMANINDO, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
Samosir TANJUNGAN ,kecamatan SIMANINDO, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
PT MADUMA SURYA PERDANA Toko Bahan Bangunan TANJUNGAN ,kecamatan SIMANINDO, SAMOSIR |HV4X+XM2 perbatasan sipira, Tanjungan, Kec. Onan Runggu, Kabupaten Samosir, Sumatera Utara 22395|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|PT MADUMA SURYA PERDANA|2.5573969|98.8991316|Toko Bahan Bangunan|Tidak ada review|Tidak ada review
Kandang Kopi Tiar TANJUNGAN ,kecamatan SIMANINDO, SAMOSIR |GVRJ+WCH, Urat Tim., Kec. Palipi, Kabupaten Samosir, Sumatera Utara 22395|0813-7001-8107|Alamat web tidak ditemukan|Kandang Kopi Tiar|2.5423102|98.8811219|Bar|Tidak ada review|Tidak ada review
