
TkNoel ManikC UNJUR ,kecamatan SIMANINDO, SAMOSIR |MRQC+4WP, Jl. Pulau Samosir, Ambarita, Simanindo, Kabupaten Samosir, Sumatera Utara 22395|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Tk.Noel Manik|2.6878257|98.8223398|Jenis tempat tidak ditemukan|Tidak ada review|Tidak ada review
GPI Imanuel Unjur UNJUR ,kecamatan SIMANINDO, SAMOSIR |tio, Jl. Dusun 1, Kp, Jl. Lumban Sitio, Desa Unjur, Simanindo, Samosir Regency, North Sumatra 22395|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|GPI Imanuel - Unjur|2.6870282|98.8258362|Gereja|Tidak ada review|Tidak ada review
Penginapan Murah Asaka Unjur UNJUR ,kecamatan SIMANINDO, SAMOSIR |Ambarita, Simanindo, Kabupaten Samosir, Sumatera Utara|0882-0150-10882|Alamat web tidak ditemukan|Penginapan Murah Asaka Unjur|2.6912702|98.820039|Motel|Tidak ada review|Tidak ada review
Anugrahr UNJUR ,kecamatan SIMANINDO, SAMOSIR |Jalan unjur, desa unjur, Simanindo, Unjur, Sumatera Utara 22390|0815-2575-3952|Alamat web tidak ditemukan|Anugrah motor|2.6902431|98.8208504|Bengkel Sepeda Motor|Tidak ada review|Tidak ada review
Sanaaam beach UNJUR ,kecamatan SIMANINDO, SAMOSIR |Dosroha, Simanindo, Kabupaten Samosir, Sumatera Utara|0812-1916-7415|Alamat web tidak ditemukan|Pantai Ikan Mas Tandarabun|2.7161063|98.6917194|Tujuan Wisata|Tidak ada review|Tidak ada review
Ambarita Panjait UNJUR ,kecamatan SIMANINDO, SAMOSIR |Ambarita, Unjur, Kabupaten Samosir, Sumatera Utara 22395|0852-7504-7843|Alamat web tidak ditemukan|Ambarita Panjait.|2.691194|98.8204501|Penjahit|Tidak ada review|Tidak ada review
Jovelyn Artha Mini Mart  Cafe UNJUR ,kecamatan SIMANINDO, SAMOSIR |Jl. Pulau Samosir, Ambarita, Simanindo, Kabupaten Samosir, Sumatera Utara 22395|0821-6505-6705|Alamat web tidak ditemukan|Jovelyn Artha Mini Mart & Cafe|2.6928655|98.8186364|Restoran|Tidak ada review|Tidak ada review
desa unjur UNJUR ,kecamatan SIMANINDO, SAMOSIR |MRRC+83F, Ambarita, Simanindo, Kabupaten Samosir, Sumatera Utara 22395|0838-7713-0080|Alamat web tidak ditemukan|desa unjur|2.6908125|98.8201719|Dapur Umum|Tidak ada review|Tidak ada review
Warung Vania UNJUR ,kecamatan SIMANINDO, SAMOSIR |MRRC+Q3M, Jl. Pulau Samosir, Ambarita, Simanindo, Kabupaten Samosir, Sumatera Utara 22395|0812-1628-7625|Alamat web tidak ditemukan|Warung Vania|2.691951|98.820163|Kedai Kopi|Tidak ada review|Tidak ada review
ereja GKPI Unjur UNJUR ,kecamatan SIMANINDO, SAMOSIR |MRPC+XQG, Ambarita, Simanindo, Kabupaten Samosir, Sumatera Utara 22395|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Gereja GKPI Unjur|2.6874431|98.8219538|Gereja Protestan|Tidak ada review|Tidak ada review
Lapo Tuak Mas Ringo UNJUR ,kecamatan SIMANINDO, SAMOSIR |Jl. Pulau Samosir No.56, Ambarita, Simanindo, Kabupaten Samosir, Sumatera Utara 22395|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Lapo Tuak Mas Ringo|2.6859524|98.8235943|Kedai Kopi|Tidak ada review|Tidak ada review
Lumban Siadari UNJUR ,kecamatan SIMANINDO, SAMOSIR |MRJF+CC5, Desa Unjur, Ambarita, Simanindo, Kabupaten Samosir, Sumatera Utara 22395|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Lumban Siadari|2.6810216|98.8236147|Rumah wisata|Tidak ada review|Tidak ada review
Tugu Siadari Sian Oppu Bimbinan UNJUR ,kecamatan SIMANINDO, SAMOSIR |MRJF+9H3, Ambarita, Simanindo, Kabupaten Samosir, Sumatera Utara|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Tugu Siadari Sian Oppu Bimbinan|2.6808866|98.8239077|Pemakaman|Tidak ada review|Tidak ada review
Warung Mak Sari UNJUR ,kecamatan SIMANINDO, SAMOSIR |MRJG+W9H, Ambarita, Simanindo, Kabupaten Samosir, Sumatera Utara|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Warung Mak Sari|2.6823086|98.8259795|Restoran|Tidak ada review|Tidak ada review
Tk Jeremia Kid UNJUR ,kecamatan SIMANINDO, SAMOSIR |MRMG+8C7, Ambarita, Simanindo, Kabupaten Samosir, Sumatera Utara|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Tk Jeremia Kids|2.6832797|98.8260332|Kelompok Bermain|Tidak ada review|Tidak ada review
Gereja GKIl Kemenangan UNJUR ,kecamatan SIMANINDO, SAMOSIR |MRMG+68V, Jl. Pulau Samosir, Ambarita, Simanindo, Kabupaten Samosir, Sumatera Utara 22395|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Gereja GKII Kemenangan|2.683106|98.8257853|Gereja Kristen|Tidak ada review|Tidak ada review
Rumah Makan Samosir UNJUR ,kecamatan SIMANINDO, SAMOSIR |MRMG+55F, Desa Unjur,, Ambarita, Simanindo, Kabupaten Samosir, Sumatera Utara|0852-6254-5153|Alamat web tidak ditemukan|Rumah Makan Samosir|2.6829302|98.8254185|Restoran|Tidak ada review|Tidak ada review
SD Negeri 16 unjur UNJUR ,kecamatan SIMANINDO, SAMOSIR |MRMG+5C2, Ambarita, Simanindo, Kabupaten Samosir, Sumatera Utara|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|SD Negeri 16 unjur|2.6828958|98.8260015|Sekolah Dasar|Tidak ada review|Tidak ada review
REJEKIPONSEL Toko Elektronik UNJUR ,kecamatan SIMANINDO, SAMOSIR |Jl. Pulau Samosir No.60, Ambarita, Simanindo, Kabupaten Samosir, Sumatera Utara 22395|0813-1125-9910|Alamat web tidak ditemukan|REJEKI PONSEL|2.6840129|98.82511|Toko Elektronik|Tidak ada review|Tidak ada review
KelKNapitu BrPurba Unjur Ambarita Samosir UNJUR ,kecamatan SIMANINDO, SAMOSIR |MRMG+H3H, Ambarita, Simanindo, Kabupaten Samosir, Sumatera Utara 22395|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Kel.K.Napitu Br.Purba, Unjur Ambarita Samosir|2.683821|98.825792|Komplek perumahan|Tidak ada review|Tidak ada review
Taman Doa Getsemani UNJUR ,kecamatan SIMANINDO, SAMOSIR |MRV9+887, Ambarita, Simanindo, Kabupaten Samosir, Sumatera Utara 22395|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Taman Doa Getsemani|2.6932902|98.818306|Taman|Tidak ada review|Tidak ada review
relusuri Google Maps UNJUR ,kecamatan SIMANINDO, SAMOSIR |MRQC+QJ6, Jl. Pulau Samosir, Ambarita, Simanindo, Kabupaten Samosir, Sumatera Utara 22395|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Unjur Motor|2.6894164|98.8215261|Bengkel Mobil|Tidak ada review|Tidak ada review
