
Negeri4 Martahan JANJI MARTAHAN ,kecamatan HARIAN, SAMOSIR |GMVF+MJH, Janji Martahan, Kec. Harian, Kabupaten Samosir, Sumatera Utara|0812-6414-3987|Alamat web tidak ditemukan|SD Negeri 4 Janji Martahan|2.5441875|98.6741094|Sekolah Dasar|Tidak ada review|Tidak ada review
atung Yesus ukit Sibeabea JANJI MARTAHAN ,kecamatan HARIAN, SAMOSIR |Turpuk Sihotang, Kec. Harian, Kabupaten Samosir, Sumatera Utara 22396|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Patung Yesus, Bukit Sibeabea|2.5507063|98.6723867|Tujuan Wisata|Tidak ada review|Tidak ada review
Warung Muslim PasaribuBrothers JANJI MARTAHAN ,kecamatan HARIAN, SAMOSIR |GMVH+2VC, Janji Martahan, Kec. Harian, Kabupaten Samosir, Sumatera Utara|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Warung Muslim Pasaribu Brothers|2.5425721|98.6796317|Kedai Kopi|Tidak ada review|Tidak ada review
Penginapan NurMHidayat JANJI MARTAHAN ,kecamatan HARIAN, SAMOSIR |GMMQ+PMX, Janji Martahan, Kec. Harian, Kabupaten Samosir, Sumatera Utara|0812-6471-4095|Alamat web tidak ditemukan|Penginapan Nur.M.Hidayat|2.53542|98.6885181|Rumah wisata|Tidak ada review|Tidak ada review
Masjid Al Mubarokn JANJI MARTAHAN ,kecamatan HARIAN, SAMOSIR |GMMQ+PMX, Hariara Pohan, Kec. Harian, Kabupaten Samosir, Sumatera Utara|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Masjid Al Mubarok|2.5344085|98.6892424|Masjid|Tidak ada review|Tidak ada review
SMA Negeri 1 Harian C JANJI MARTAHAN ,kecamatan HARIAN, SAMOSIR |GMPJ+F5R, Janji Martahan, Kec. Harian, Kabupaten Samosir, Sumatera Utara 22396|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|SMA Negeri 1 Harian|2.5362449|98.6803799|Sekolah Menengah Umum|Tidak ada review|Tidak ada review
Camping place  JANJI MARTAHAN ,kecamatan HARIAN, SAMOSIR |GMMP+C4, Janji Martahan, Kec. Harian, Kabupaten Samosir, Sumatera Utara|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Camping place|2.5336192|98.6853522|Taman|Tidak ada review|Tidak ada review
Tepian Sibea bea Danau Toba JANJI MARTAHAN ,kecamatan HARIAN, SAMOSIR |HM3G+2J8, Sibea bea danau toba, Turpuk Sihotang, Sumatera Utara|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Tepian Sibea bea Danau Toba|2.5525471|98.6765894|Tujuan Wisata|Tidak ada review|Tidak ada review
Indoneaia JANJI MARTAHAN ,kecamatan HARIAN, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
Googe Maps JANJI MARTAHAN ,kecamatan HARIAN, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
