
Lumban sada  HARIARA POHAN ,kecamatan HARIAN, SAMOSIR |Hariara Pohan, Kec. Harian, Kabupaten Samosir, Sumatera Utara|0812-6259-7974|Alamat web tidak ditemukan|Lumban sada|2.5267438|98.7030417|Tujuan Wisata|Tidak ada review|Tidak ada review
i Masjid Nurul Iman HARIARA POHAN ,kecamatan HARIAN, SAMOSIR |GPG3+67V, Dolok Raja, Kec. Harian, Kabupaten Samosir, Sumatera Utara|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Masjid Nurul Iman|2.5256191|98.7031798|Masjid|Tidak ada review|Tidak ada review
iarapohan Parsisi HARIARA POHAN ,kecamatan HARIAN, SAMOSIR |Hariara Pohan, Kec. Harian, Kabupaten Samosir, Sumatera Utara 22391|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Hariarapohan Parsisi|2.5266812|98.7029465|Taman bermain|Tidak ada review|Tidak ada review
Ibn tonga tonga robema home stay HARIARA POHAN ,kecamatan HARIAN, SAMOSIR |GPG2+7R3, Dolok Raja, Kec. Harian, Kabupaten Samosir, Sumatera Utara|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|lbn tonga tonga robema home stay|2.5256325|98.7020449|Gedung Apartemen|Tidak ada review|Tidak ada review
Dolok Sipege Sampurtoba HARIARA POHAN ,kecamatan HARIAN, SAMOSIR |GPM2+8G, Dolok Raja, Kec. Harian, Kabupaten Samosir, Sumatera Utara|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Dolok Sipege Sampurtoba|2.533337|98.701273|Area Mendaki|Tidak ada review|Tidak ada review
Kenegerian Sihotang HARIARA POHAN ,kecamatan HARIAN, SAMOSIR |GMJW+5PJ, Dolok Raja, Kec. Harian, Kabupaten Samosir, Sumatera Utara|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Kenegerian Sihotang|2.5324373|98.6963385|Tujuan Wisata|Tidak ada review|Tidak ada review
Duto Nuary Simbolon HARIARA POHAN ,kecamatan HARIAN, SAMOSIR |GPG3+87W, Hariara Pohan, Kec. Harian, Kabupaten Samosir, Sumatera Utara|0852-6216-9534|Alamat web tidak ditemukan|Falyuhsin Duto Nuary Simbolon|2.5258651|98.7032019|Pusat Informasi Pariwisata|Tidak ada review|Tidak ada review
TUNDENG fram HARIARA POHAN ,kecamatan HARIAN, SAMOSIR |GMCV+56, Dolok Raja, Kec. Harian, Kabupaten Samosir, Sumatera Utara|0852-1152-0088|Alamat web tidak ditemukan|TUNDENG fram|2.5203989|98.693041|Pedagang ternak|Tidak ada review|Tidak ada review
Titik Kumpul HARIARA POHAN ,kecamatan HARIAN, SAMOSIR |Desa Siparmahan Sihotang, Dolok Raja, Kec. Harian, Kabupaten Samosir, Sumatera Utara|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Titik Kumpul|2.5254602|98.6982149|Rumah Pondokan|Tidak ada review|Tidak ada review
BATUSAONG Home Stay HARIARA POHAN ,kecamatan HARIAN, SAMOSIR |lbn suhi suhi toruan. Homestay lbn sitohang /lbn sinabang, No:70, Desa, Sumatera Utara 22392|0813-7707-9299|Alamat web tidak ditemukan|Homestay Rumah Bolon putri|2.6658179|98.6899874|Penginapan|Tidak ada review|Tidak ada review
UMKM Maju Bersama SaudaraMBS HARIARA POHAN ,kecamatan HARIAN, SAMOSIR |GPF3+29, Dolok Raja, Kec. Harian, Kabupaten Samosir, Sumatera Utara|0812-6079-0979|Alamat web tidak ditemukan|UMKM Maju Bersama Saudara (MBS)|2.5225938|98.7034662|Tujuan Wisata|Tidak ada review|Tidak ada review
Sijambur Nauli  HARIARA POHAN ,kecamatan HARIAN, SAMOSIR |GM9H+J2, Sijambur, Hariara Pohan, Kabupaten Samosir, Sumatera Utara|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Sijambur Nauli|2.5186852|98.6777776|Taman|Tidak ada review|Tidak ada review
Googe Maps HARIARA POHAN ,kecamatan HARIAN, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
