Place|Address|Phone Number|Website|Actual Place Name|Latitude|Longitude|Place Type|Latest Review|Review Date
UD GRASIAPLENA SIOPAT SOSOR ,kecamatan PANGURURAN, SAMOSIR |Jl. Perkantoran No.275, Siopat Sosor, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392|0853-6248-8579|Alamat web tidak ditemukan|UD GRASIAPLENA|2.6839976|98.6994348|Toko|Tidak ada review|Tidak ada review
APOTEK DEBORA SIOPAT SOSOR ,kecamatan PANGURURAN, SAMOSIR |MP56+XWG, Siopat Sosor, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392|0821-6552-2393|Alamat web tidak ditemukan|Apotek Debora|2.6599268|98.7123309|Jenis tempat tidak ditemukan|Tidak ada review|Tidak ada review
Dinas Pendidikan Kabupaten Samosir SIOPAT SOSOR ,kecamatan PANGURURAN, SAMOSIR |MPP4+FH4, Kompleks Perkantoran Parbaba, Desa Siopat Sosor, Pangururan, Situngkir, Samosir, Kabupaten Samosir, Sumatera Utara 22395|(0626) 2222000|http://www.samosirkab.go.id/|Dinas Pendidikan Kabupaten Samosir|2.6861484|98.7064666|Institusi Pendidikan|Tidak ada review|Tidak ada review
Tanah dan Lahan RUMBANA SIHALOHO SIOPAT SOSOR ,kecamatan PANGURURAN, SAMOSIR |MMPR+GVV, Siopat Sosor, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Tanah dan Lahan RUMBANA SIHALOHO|2.6863647|98.6921771|Komplek perumahan|Tidak ada review|Tidak ada review
Kantor Disnakerkoperindag SIOPAT SOSOR ,kecamatan PANGURURAN, SAMOSIR |MPP4+8H8, Parbaba Dolok, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22395|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Dinas Tenaga Kerja, Koperasi, Perindustrian dan Perdagangan Kabupaten Samosir|2.6857952|98.7064415|Kantor Pemerintah|Tidak ada review|Tidak ada review
Rumah Makan Minang Halal SIOPAT SOSOR ,kecamatan PANGURURAN, SAMOSIR |MMPR+WC2, Jl. Raya Simanindo, Situngkir, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22395|0819-9207-8996|Alamat web tidak ditemukan|Rumah Makan Minang Halal|2.6872707|98.6910279|Restoran|Tidak ada review|Tidak ada review
Kantin Dinkes Samosir SIOPAT SOSOR ,kecamatan PANGURURAN, SAMOSIR |MPP4+36J, Parbaba Dolok, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22395|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Kantin Dinkes Samosir|2.6850016|98.7049927|Kedai Kopi|Tidak ada review|Tidak ada review
Data peta2025 SIOPAT SOSOR ,kecamatan PANGURURAN, SAMOSIR |Siopat Sosor, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|DESA SIOPAT SOSOR|2.6599268|98.7123309|Kantor Perusahaan|Tidak ada review|Tidak ada review
Dinas Kependudukan dan Pencatatan Sipil SIOPAT SOSOR ,kecamatan PANGURURAN, SAMOSIR |Situngkir, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22395|0811-6062-927|https://dukcapil.samosirkab.go.id/|Dinas Kependudukan dan Pencatatan Sipil Kabupaten Samosir|2.6849402|98.706573|Kantor Pemerintahan Daerah|Tidak ada review|Tidak ada review
Zefers tenun SIOPAT SOSOR ,kecamatan PANGURURAN, SAMOSIR |Siopat Sosor, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392|0822-7736-7793|Alamat web tidak ditemukan|Zefers tenun|2.6870714|98.6910421|Perancang busana|Tidak ada review|Tidak ada review
