Place|Address|Phone Number|Website|Actual Place Name|Latitude|Longitude|Place Type|Latest Review|Review Date
Gereja StAgata Sitaretareon Pr LUMBAN SUHI SUHI DOLOK ,kecamatan PANGURURAN, SAMOSIR |MP8C+QJP, Unnamed Road, Siopat Sosor, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392|0821-6582-5569|Alamat web tidak ditemukan|Gereja St.Agata Sitaretareon Pr. Pangururan|2.666962|98.7215754|Gereja Katolik|Tidak ada review|Tidak ada review
Mama Geb LUMBAN SUHI SUHI DOLOK ,kecamatan PANGURURAN, SAMOSIR |MMCX+M7G Gereja GKPS, Inpres Hutabolon, dusun 2, Pematang Tambun Raya, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Mama Geb|2.6716794|98.6982059|Komplek perumahan|Tidak ada review|Tidak ada review
Huta Sait Nihuta LUMBAN SUHI SUHI DOLOK ,kecamatan PANGURURAN, SAMOSIR |MMCX+CX4, Huta Bolon, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Huta Sait Nihuta|2.6710036|98.6999561|Komplek perumahan|Tidak ada review|Tidak ada review
Simpang Dukul Nakka LUMBAN SUHI SUHI DOLOK ,kecamatan PANGURURAN, SAMOSIR |MP95+XR2 Dugul Nakka, Simpang harapohan, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Simpang Dukul Nakka|2.6698808|98.7095042|Komplek perumahan|Tidak ada review|Tidak ada review
Sibuntuon Desa Lumban SuhiSuhi Dolok LUMBAN SUHI SUHI DOLOK ,kecamatan PANGURURAN, SAMOSIR |MP5C+M23, Lumban Suhi-Suhi Dolok, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Sibuntuon Desa Lumban Suhi-Suhi Dolok|2.6591408|98.7200553|Komplek perumahan|Tidak ada review|Tidak ada review
Margaret Sihaloho LUMBAN SUHI SUHI DOLOK ,kecamatan PANGURURAN, SAMOSIR |MP8C+PHM, RW.Sitaretareon, Lumban Suhi-Suhi Dolok, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Margaret Sihaloho|2.6668267|98.7214108|Komplek perumahan|Tidak ada review|Tidak ada review
UD Amir Nainggolan Toko Perlengkapan Rumah LUMBAN SUHI SUHI DOLOK ,kecamatan PANGURURAN, SAMOSIR |MP83+PGM, Huta Bolon, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|UD. Amir Nainggolan|2.6667968|98.7038403|Toko Perlengkapan Rumah|Tidak ada review|Tidak ada review
SD Negeri 34 Lumban Suhisuhi Dolok LUMBAN SUHI SUHI DOLOK ,kecamatan PANGURURAN, SAMOSIR |MP8C+RWJ, RW.Sitaretareon Desa, Lumban Suhi-Suhi Dolok, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|SD Negeri 34 Lumban Suhisuhi Dolok|2.6670916|98.7222671|Sekolah Dasar|Tidak ada review|Tidak ada review
Warung Grend Sihaloho LUMBAN SUHI SUHI DOLOK ,kecamatan PANGURURAN, SAMOSIR |MP83+RCC, Lumban Suhi-Suhi Dolok, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Warung Grend Sihaloho|2.6670715|98.7035218|Kedai Kopi|Tidak ada review|Tidak ada review
SINABARIBA HARAPOHAN LUMBAN SUHI SUHI DOLOK ,kecamatan PANGURURAN, SAMOSIR |MP83+Q74, Huta Lumban Sinabariba, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|SINABARIBA HARAPOHAN|2.6665448|98.7019344|Komplek perumahan|Tidak ada review|Tidak ada review
