Place|Address|Phone Number|Website|Actual Place Name|Latitude|Longitude|Place Type|Latest Review|Review Date
Samosir batu gajah HUTA TINGGI ,kecamatan PANGURURAN, SAMOSIR |Batu gajah, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392|0852-6221-5793|Alamat web tidak ditemukan|Samosir batu gajah|2.6082778|98.7260927|Terminal kapal pesiar|Tidak ada review|Tidak ada review
Tugu Ompu Sitanggang HUTA TINGGI ,kecamatan PANGURURAN, SAMOSIR |JP4F+H2P, Pintu Sona, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Tugu Ompu Sitanggang|2.6064576|98.7225854|Pemakaman|Tidak ada review|Tidak ada review
TOKO HATTA HUTA TINGGI ,kecamatan PANGURURAN, SAMOSIR |JP46+3C2, Jl. Ronggurnihuta desa, Huta Tinggi, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392|0813-9602-0403|Alamat web tidak ditemukan|TOKO HATTA|2.6051401|98.7110027|Pusat Perbelanjaan|Tidak ada review|Tidak ada review
Homestay Batu Bolon HUTA TINGGI ,kecamatan PANGURURAN, SAMOSIR |Batu Bolon No.Desa, Huta Tinggi, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392|0853-7329-4774|Alamat web tidak ditemukan|Homestay Batu Bolon|2.6052294|98.7108889|Guest house|Tidak ada review|Tidak ada review
Kantor Kepala Desa Huta Tinggi HUTA TINGGI ,kecamatan PANGURURAN, SAMOSIR |JP2G+FR, Pintu Sona, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Kantor Kepala Desa Huta Tinggi|2.6003586|98.7277867|Kantor Pemerintah|Tidak ada review|Tidak ada review
UD Nicholas HUTA TINGGI ,kecamatan PANGURURAN, SAMOSIR |JP2G+63V, Huta Tinggi, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|UD. Nicholas|2.6008156|98.7255763|Toko|Tidak ada review|Tidak ada review
Homestay Huta Tinggi Dream HUTA TINGGI ,kecamatan PANGURURAN, SAMOSIR |Huta Tinggi, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392|0823-6855-7891|Alamat web tidak ditemukan|Homestay Huta Tinggi Dream|2.6046938|98.7257098|Rumah wisata|Tidak ada review|Tidak ada review
MAK FITITRI HUTA TINGGI ,kecamatan PANGURURAN, SAMOSIR |Pintu Sona, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|MAK FITITRI|2.6043725|98.7148947|Jenis tempat tidak ditemukan|Tidak ada review|Tidak ada review
TOKO Indah HUTA TINGGI ,kecamatan PANGURURAN, SAMOSIR |Pintu Sona, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|TOKO Indah|2.6024279|98.7185169|Toko bahan makanan|Tidak ada review|Tidak ada review
PASAR HORAS HUTA TINGGI ,kecamatan PANGURURAN, SAMOSIR |JP38+2GM, PASAR HORAS, Kec. Pangururan, Kabupaten Samosir|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|PASAR HORAS|2.6025751|98.7163065|Komplek perumahan|Tidak ada review|Tidak ada review
 Hotel HUTA TINGGI ,kecamatan PANGURURAN, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
K P U Melayeni HUTA TINGGI ,kecamatan PANGURURAN, SAMOSIR |JP2F+MHF, Pintu Sona, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|K P U Melayeni|2.6016819|98.7239244|Kantor Pemerintah|Tidak ada review|Tidak ada review
Tourstalndonesia HUTA TINGGI ,kecamatan PANGURURAN, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
Desa Huta Tinggi HUTA TINGGI ,kecamatan PANGURURAN, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
Googe Maps HUTA TINGGI ,kecamatan PANGURURAN, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
10ml HUTA TINGGI ,kecamatan PANGURURAN, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
