
Hulu Naiso SINGKAM ,kecamatan SIANJUR MULAMULA, SAMOSIR |HJQM+F3X, Sarimarrihit, Kec. Sianjur Mula Mula, Kabupaten Samosir, Sumatera Utara 22396|0813-7646-8162|Alamat web tidak ditemukan|SMP Negeri 1 Sianjur Mulamula|2.5893901|98.6324847|Sekolah Menengah Pertama|Tidak ada review|Tidak ada review
Rumah Op Meycal Limbong SINGKAM ,kecamatan SIANJUR MULAMULA, SAMOSIR |HJJG+79G, Singkam, Kec. Sianjur Mula Mula, Kabupaten Samosir, Sumatera Utara 22396|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Rumah Op Meycal Limbong|2.5806971|98.6259668|Rumah Kayu|Tidak ada review|Tidak ada review
Rumah Belajar Sianjur Mula Mula SINGKAM ,kecamatan SIANJUR MULAMULA, SAMOSIR |Sagala Hutabalian, Sarimarrihit, Kec. Sianjur Mula Mula, Kabupaten Samosir, Sumatera Utara 22396|0852-0618-7456|https://web.facebook.com/sekolahadatsimula/?fb_dtsg_ag=AdzUUffjpo6GefkaAsKFdz0lTZ38zk-BMJ20CJZ_6h2mzA%3AAdyv3vD3BjjkZZXmJgvf-_MdkB4Xcd0AOb3cVZRhOGBufA|Rumah Belajar Sianjur Mula Mula|2.5800916|98.6263057|Institusi Pendidikan|Ulang Tahun Rumah Belajar Sianjur Ke-3 Dimulai: 25 Oktober 2018 😍 …|7 tahun lalu
Bin gala SINGKAM ,kecamatan SIANJUR MULAMULA, SAMOSIR |HJGF+FMM, Singkam, Kec. Sianjur Mula Mula, Kabupaten Samosir, Sumatera Utara 22396|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|#Bin_gala|2.5762003|98.624164|Area Mendaki|Nyaman|setahun lalu
Kantor Desa Sing SINGKAM ,kecamatan SIANJUR MULAMULA, SAMOSIR |HJHG+JPJ, Dusun Sisiangkolak Desa, Singkam, Kec. Sianjur Mula Mula, Kabupaten Samosir, Sumatera Utara 22396|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Kantor Desa Singkam|2.5790955|98.6267527|Kantor Pemerintah|Viewnya menjanjikan|3 tahun lalu
USAHA KELONTONG LORISTA SINGKAM ,kecamatan SIANJUR MULAMULA, SAMOSIR |HJHG+XG6, Singkam, Kec. Sianjur Mula Mula, Kabupaten Samosir, Sumatera Utara 22396|0813-6110-5230|Alamat web tidak ditemukan|USAHA KELONTONG LORISTA|2.5799114|98.6262568|Toko|Barang yang di belanjakan lengkap|4 tahun lalu
Air Terjun Nai sogop SINGKAM ,kecamatan SIANJUR MULAMULA, SAMOSIR |HJQC+JHW, Sarimarrihit, Kec. Sianjur Mula Mula, Kabupaten Samosir, Sumatera Utara 22396|Nomor telepon tidak ditemukan|https://www.toba.indonesia-tourism.com/hadabuan_naisogop.html|Air Terjun Nai sogop|2.5891228|98.6214639|Tujuan Wisata|Salah satu air terjun tempat wisata rekomendasi di Sianjur Mula mula Samosir|sebulan lalu
KOLAMAJN SINGKAM ,kecamatan SIANJUR MULAMULA, SAMOSIR |Jl. Gereja No.Desa, Singkam, Kec. Sianjur Mula Mula, Kabupaten Samosir, Sumatera Utara 22396|0812-6534-4894|Alamat web tidak ditemukan|KOLAM AJN|2.567653|98.626133|Tujuan Wisata|Menakjubkan|4 tahun lalu
GPDI Aek Mual SINGKAM ,kecamatan SIANJUR MULAMULA, SAMOSIR |Jl. Gereja No.Desa, Singkam, Kec. Sianjur Mula Mula, Kabupaten Samosir, Sumatera Utara 22396|0896-8810-1860|Alamat web tidak ditemukan|GPDI Aek Mual|2.5682472|98.6282751|Gereja|Wisata yang tidak kalah menarik|4 tahun lalu
WISATA MINAPADI SINGKAM ,kecamatan SIANJUR MULAMULA, SAMOSIR |Ompu ompu, Sarimarrihit, Kec. Sianjur Mula Mula, Kabupaten Samosir, Sumatera Utara 22396|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|"Batu Sawan | ᯅᯖᯮ ᯘᯋᯉ᯲"|2.5825973|98.6428613|Tujuan Wisata|Tempat Sakral|Diedit 3 minggu lalu
